epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,5674.76,1.46716,2.18963,1.83938,0.69677,0.43253,0.47168,0.33699,1.76213,2.44801,2.08364,0.000703,0.000703,0.000703
32,5848.82,1.43154,2.13081,1.80019,0.56358,0.39969,0.43698,0.30994,1.82689,2.55355,2.13906,0.0006931,0.0006931,0.0006931
33,6010.68,1.40936,2.12819,1.79241,0.38634,0.48171,0.44101,0.31391,1.79176,2.47456,2.09655,0.0006832,0.0006832,0.0006832
34,6189.64,1.42201,2.06589,1.79045,0.53738,0.48776,0.46458,0.31287,1.81291,2.50489,2.13287,0.0006733,0.0006733,0.0006733
35,6342.72,1.4156,2.04488,1.79832,0.45013,0.51193,0.48365,0.33545,1.78066,2.39654,2.1457,0.0006634,0.0006634,0.0006634
36,6521.62,1.40439,2.01572,1.77316,0.50175,0.41788,0.46349,0.31923,1.83887,2.42529,2.10853,0.0006535,0.0006535,0.0006535
37,6691.15,1.35167,1.9214,1.73972,0.50902,0.47783,0.46107,0.32746,1.7575,2.37888,2.10698,0.0006436,0.0006436,0.0006436
38,6861.75,1.38583,1.98413,1.78049,0.42155,0.49163,0.46681,0.324,1.80741,2.29183,2.12623,0.0006337,0.0006337,0.0006337
39,7051.55,1.37333,1.98797,1.76572,0.50333,0.44796,0.45245,0.32681,1.75606,2.39384,2.11764,0.0006238,0.0006238,0.0006238
40,7217.22,1.34446,1.91642,1.7478,0.55589,0.44753,0.44913,0.30964,1.78544,2.42519,2.10582,0.0006139,0.0006139,0.0006139
41,7412.58,1.30364,1.91131,1.70785,0.54308,0.45031,0.48464,0.33558,1.68736,2.32963,2.05885,0.000604,0.000604,0.000604
42,7587.93,1.31349,1.85567,1.71776,0.52683,0.4596,0.4761,0.34374,1.78178,2.34359,2.1159,0.0005941,0.0005941,0.0005941
43,7765.4,1.26821,1.8201,1.67029,0.50675,0.45668,0.48052,0.33922,1.76938,2.31958,2.0836,0.0005842,0.0005842,0.0005842
44,7939.14,1.30816,1.84492,1.68899,0.5974,0.44529,0.49623,0.35185,1.76788,2.31805,2.11474,0.0005743,0.0005743,0.0005743
45,8097.32,1.29138,1.80661,1.68109,0.49143,0.48308,0.49051,0.34986,1.78148,2.3889,2.13564,0.0005644,0.0005644,0.0005644
46,8281.12,1.27771,1.8401,1.6966,0.50455,0.44392,0.47287,0.33199,1.80703,2.51984,2.16953,0.0005545,0.0005545,0.0005545
