epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,23691,0.9208,1.87156,1.03653,1.30814,0.77603,0.6934,0.74691,0.57572,0.77043,0.68819,0.73402,0.55371,1.19674,2.18765,1.24841,1.57728,0.00123165,0.00123165,0.00123165
103,23923.3,0.91057,1.84983,1.01733,1.30536,0.7659,0.68908,0.74004,0.57222,0.75892,0.68327,0.72511,0.54862,1.1864,2.21488,1.25866,1.57124,0.00120625,0.00120625,0.00120625
104,24155.3,0.92279,1.86649,1.03333,1.30774,0.7541,0.70369,0.73618,0.57008,0.75208,0.70558,0.73059,0.55516,1.19824,2.20826,1.2458,1.58169,0.00118095,0.00118095,0.00118095
105,24387.7,0.93011,1.88591,1.05256,1.32235,0.76616,0.69774,0.73957,0.57101,0.77803,0.68552,0.73453,0.55084,1.20387,2.21771,1.24245,1.58848,0.00115575,0.00115575,0.00115575
106,24620,0.9028,1.83272,1.00683,1.30015,0.74327,0.70028,0.7404,0.57635,0.74806,0.69907,0.73025,0.55124,1.20449,2.20936,1.24067,1.58962,0.00113065,0.00113065,0.00113065
107,24851.3,0.91995,1.85793,1.02301,1.31262,0.77319,0.68456,0.7467,0.57669,0.78016,0.68281,0.73743,0.55493,1.21557,2.22448,1.25072,1.60267,0.00110568,0.00110568,0.00110568
108,25083.8,0.90884,1.86452,1.01484,1.30168,0.78337,0.69286,0.75093,0.58081,0.78152,0.69214,0.74073,0.55971,1.21171,2.19782,1.24229,1.5919,0.00108083,0.00108083,0.00108083
109,25317,0.90308,1.82976,0.99495,1.29451,0.74162,0.71638,0.75072,0.58186,0.72312,0.71003,0.73452,0.5596,1.20767,2.20455,1.2306,1.60213,0.00105611,0.00105611,0.00105611
110,25550.1,0.90213,1.84559,1.00523,1.30437,0.8104,0.68185,0.75883,0.58813,0.79204,0.68451,0.74457,0.56388,1.2065,2.23043,1.22639,1.59927,0.00103153,0.00103153,0.00103153
111,25782.5,0.8915,1.81089,0.97381,1.28692,0.75674,0.69646,0.75305,0.5866,0.72814,0.70959,0.73865,0.56142,1.21564,2.23072,1.21294,1.5974,0.0010071,0.0010071,0.0010071
112,26013.9,0.89083,1.8231,0.98035,1.29211,0.80032,0.69227,0.75135,0.58412,0.7931,0.69186,0.73688,0.5599,1.20379,2.23149,1.21879,1.5891,0.000982824,0.000982824,0.000982824
113,26246.4,0.87407,1.79375,0.94603,1.2785,0.77199,0.70129,0.75449,0.5869,0.77312,0.69911,0.74323,0.56216,1.218,2.1961,1.21607,1.60198,0.000958709,0.000958709,0.000958709
114,26478.2,0.8602,1.74531,0.93873,1.26538,0.7542,0.70077,0.74889,0.583,0.76015,0.69281,0.74092,0.56338,1.21795,2.22119,1.24515,1.59841,0.000934764,0.000934764,0.000934764
115,26710,0.86642,1.77164,0.94496,1.26746,0.75111,0.71293,0.74844,0.58486,0.74216,0.72645,0.74331,0.56602,1.22086,2.22215,1.23152,1.60621,0.000910996,0.000910996,0.000910996
116,26941.6,0.87469,1.75443,0.94348,1.27073,0.81748,0.66901,0.75764,0.5897,0.78997,0.67578,0.74582,0.56831,1.19683,2.20218,1.20504,1.58248,0.000887412,0.000887412,0.000887412
117,27173.4,0.86607,1.771,0.9338,1.26459,0.81869,0.68506,0.75801,0.58981,0.81605,0.6748,0.74243,0.56635,1.20005,2.19953,1.20186,1.5858,0.000864019,0.000864019,0.000864019
118,27405.8,0.85777,1.75224,0.91612,1.25968,0.78139,0.70398,0.76114,0.58803,0.77706,0.69871,0.74707,0.57001,1.21586,2.22834,1.20824,1.60172,0.000840824,0.000840824,0.000840824
119,27638.3,0.86708,1.78453,0.94214,1.26575,0.77655,0.70865,0.75358,0.58521,0.77576,0.70452,0.74249,0.56556,1.20854,2.19424,1.21799,1.5917,0.000817835,0.000817835,0.000817835
120,27870.9,0.84661,1.71326,0.8956,1.24619,0.76607,0.69573,0.7525,0.58047,0.76229,0.69144,0.74072,0.55954,1.20628,2.21249,1.20951,1.58684,0.000795058,0.000795058,0.000795058
121,28103.6,0.84827,1.75712,0.91025,1.25161,0.76722,0.70877,0.74751,0.58555,0.7675,0.70912,0.74379,0.56615,1.20383,2.20386,1.21143,1.58189,0.0007725,0.0007725,0.0007725
122,28336.1,0.85679,1.75064,0.9115,1.26106,0.79422,0.69717,0.75889,0.59117,0.79279,0.69232,0.74854,0.5687,1.21197,2.24844,1.2016,1.60217,0.000750168,0.000750168,0.000750168
123,28571.8,0.83675,1.71007,0.88557,1.24763,0.78301,0.69467,0.75243,0.58488,0.77999,0.69592,0.74468,0.56667,1.21806,2.23986,1.21447,1.60151,0.00072807,0.00072807,0.00072807
124,28807.8,0.84874,1.73092,0.89315,1.25514,0.77299,0.71278,0.75379,0.58751,0.76074,0.70708,0.73941,0.5628,1.21687,2.27438,1.20964,1.60394,0.000706211,0.000706211,0.000706211
125,29041.2,0.83683,1.71863,0.88391,1.2386,0.78338,0.69977,0.75003,0.58625,0.78334,0.69932,0.74201,0.56595,1.21114,2.23449,1.21651,1.60344,0.000684599,0.000684599,0.000684599
